text,href
Cognizant Coding Sheet,https://www.geeksforgeeks.org/cognizant-sde-sheet-interview-questions-and-answers/?ref=ghm
HCL Coding Sheet,https://www.geeksforgeeks.org/hcl-sde-sheet-interview-questions-and-answers/?ref=ghm
DSA Sheet for Beginners,https://www.geeksforgeeks.org/most-asked-dsa-interview-problems-for-beginners/?ref=ghm
SDE Sheets,https://www.geeksforgeeks.org/sde-sheet-a-complete-guide-for-sde-preparation/?ref=ghm
FAANG Coding Sheet,https://www.geeksforgeeks.org/must-do-coding-questions-for-companies-like-amazon-microsoft-adobe/?ref=ghm
Love Babbaar Sheet,https://www.geeksforgeeks.org/dsa-sheet-by-love-babbar/?ref=ghm
Mass Recruiter Sheet,https://www.geeksforgeeks.org/must-do-questions-for-companies-like-tcs-cts-hcl-ibm/?ref=ghm
Product-Based Coding Sheet,https://www.geeksforgeeks.org/must-do-coding-questions-for-product-based-companies/?ref=ghm
Company-Wise Preparation Sheet,https://www.geeksforgeeks.org/must-coding-questions-company-wise/?ref=ghm
Top 100 DSA Interview Questions Topic-wise,https://www.geeksforgeeks.org/top-100-data-structure-and-algorithms-dsa-interview-questions-topic-wise/?ref=ghm
Top 50 Array Problems,https://www.geeksforgeeks.org/top-50-array-coding-problems-for-interviews/?ref=ghm
Top 50 String Problems,https://www.geeksforgeeks.org/top-50-string-coding-problems-for-interviews/?ref=ghm
Top 50 Stack Problems,https://www.geeksforgeeks.org/top-50-problems-on-stack-data-structure-asked-in-interviews/?ref=ghm
Top 50 Heap Problems,https://www.geeksforgeeks.org/top-50-problems-on-heap-data-structure-asked-in-interviews/?ref=ghm
Top 50 Linked List Problems,https://www.geeksforgeeks.org/top-20-linked-list-interview-question/?ref=ghm
Top 50 Tree Problems,https://www.geeksforgeeks.org/top-50-tree-coding-problems-for-interviews/?ref=ghm
Top 50 Graph Problems,https://www.geeksforgeeks.org/top-50-graph-coding-problems-for-interviews/?ref=ghm
Top 50 Problems on Recursion Algorithms,https://www.geeksforgeeks.org/top-50-interview-problems-on-recursion-algorithm/?ref=ghm
Top 20 Interview Questions on Greedy Algorithms,https://www.geeksforgeeks.org/top-20-greedy-algorithms-interview-questions/?ref=ghm
Top 20 Interview Questions on Dynamic Programming,https://www.geeksforgeeks.org/top-20-dynamic-programming-interview-questions/?ref=ghm
Top 50 Problems on Dynamic Programming (DP),https://www.geeksforgeeks.org/top-50-dynamic-programming-coding-problems-for-interviews/?ref=ghm
Top 20 Interview Questions on Hashing,https://www.geeksforgeeks.org/top-20-hashing-technique-based-interview-questions/?ref=ghm
Interview Questions on Top 10 Algorithms,https://www.geeksforgeeks.org/top-10-algorithms-in-interview-questions/?ref=ghm
Commonly Asked Data Structure Interview Questions,https://www.geeksforgeeks.org/commonly-asked-data-structure-interview-questions-set-1/?ref=ghm
All Puzzles,https://www.geeksforgeeks.org/puzzles/?ref=ghm
Top 100 Puzzles Asked In Interviews,https://www.geeksforgeeks.org/top-100-puzzles-asked-in-interviews/?ref=ghm
Top 20 Puzzles Commonly Asked During SDE Interviews,https://www.geeksforgeeks.org/top-20-puzzles-commonly-asked-during-sde-interviews/?ref=ghm
Top MCQs on Puzzles with Answers,https://www.geeksforgeeks.org/top-mcqs-on-puzzles-with-answers/?ref=ghm
Crossword Puzzle Of The Week,https://www.geeksforgeeks.org/tag/crossword-of-the-week/?ref=ghm
What is System Design,https://www.geeksforgeeks.org/what-is-system-design-learn-system-design/?ref=ghm
Key Terminologies in System Design,https://www.geeksforgeeks.org/important-key-concepts-and-terminologies-learn-system-design/?ref=ghm
Analysis and Architecture of Systems,https://www.geeksforgeeks.org/analysis-of-monolithic-and-distributed-systems-learn-system-design/?ref=ghm
Scalability in System Design,https://www.geeksforgeeks.org/what-is-scalability-and-how-to-achieve-it-learn-system-design/?ref=ghm
Databases in System Design,https://www.geeksforgeeks.org/complete-reference-to-databases-in-designing-systems/?ref=ghm
High Level Design or HLD,https://www.geeksforgeeks.org/what-is-high-level-design-learn-system-design/?ref=ghm
Low Level Design or LLD,https://www.geeksforgeeks.org/what-is-low-level-design-or-lld-learn-system-design/?ref=ghm
Communication Protocols,https://www.geeksforgeeks.org/communication-protocols-in-system-design/?ref=ghm
Web Servers and Proxies,https://www.geeksforgeeks.org/web-server-proxies-and-their-role-in-designing-systems/?ref=ghm
Case Studies in Designing Systems,https://www.geeksforgeeks.org/top-10-system-design-interview-questions-and-answers/?ref=ghm
Complete System Design Tutorial,https://www.geeksforgeeks.org/system-design-tutorial/?ref=ghm
Factory Pattern,https://www.geeksforgeeks.org/design-patterns-set-1-introduction/?ref=ghm
Observer Pattern,https://www.geeksforgeeks.org/observer-pattern-set-1-introduction/?ref=ghm
Singleton Design Pattern,https://www.geeksforgeeks.org/singleton-design-pattern/?ref=ghm
Decorator Pattern,https://www.geeksforgeeks.org/decorator-pattern/?ref=ghm
Strategy Pattern,https://www.geeksforgeeks.org/strategy-pattern-set-1/?ref=ghm
Adapter Pattern,https://www.geeksforgeeks.org/adapter-pattern/?ref=ghm
Command Pattern,https://www.geeksforgeeks.org/command-pattern/?ref=ghm
Iterator Pattern,https://www.geeksforgeeks.org/iterator-pattern/?ref=ghm
Prototype Design Pattern,https://www.geeksforgeeks.org/prototype-design-pattern/?ref=ghm
All Design Patterns,https://www.geeksforgeeks.org/software-design-patterns/?ref=ghm
System Design Roadmap,https://www.geeksforgeeks.org/complete-roadmap-to-learn-system-design/?ref=ghm
Top 10 System Design Interview Questions and Answers,https://www.geeksforgeeks.org/top-10-system-design-interview-questions-and-answers/?ref=ghm
Company Preparation,https://www.geeksforgeeks.org/company-preparation/?ref=ghm
Top Topics,https://www.geeksforgeeks.org/interview-preparation-for-software-developer/?ref=ghm
Practice Company Questions,https://practice.geeksforgeeks.org/company-tags/
Interview Experiences,https://www.geeksforgeeks.org/company-interview-corner/?ref=ghm
Experienced Interviews,https://www.geeksforgeeks.org/experienced-interview-experiences-company-wise/?ref=ghm
Internship Interviews,https://www.geeksforgeeks.org/internship-interview-experiences-company-wise/?ref=ghm
Competitive Programming,https://www.geeksforgeeks.org/competitive-programming-a-complete-guide/?ref=ghm
Multiple Choice Quizzes,https://www.geeksforgeeks.org/quiz-corner-gq/?ref=ghm
Aptitude for Placements,https://www.geeksforgeeks.org/aptitude-questions-and-answers/?ref=ghm
C,https://www.geeksforgeeks.org/c-programming-language/?ref=ghm
C++,https://www.geeksforgeeks.org/c-plus-plus/?ref=ghm
Java,https://www.geeksforgeeks.org/java/?ref=ghm
Python,https://www.geeksforgeeks.org/python-programming-language/?ref=ghm
JavaScript,https://www.geeksforgeeks.org/learn-javascript-js-roadmap-for-beginners/?ref=ghm
PHP,https://www.geeksforgeeks.org/php-tutorials/?ref=ghm
R Tutorial,https://www.geeksforgeeks.org/r-tutorial/
C#,https://www.geeksforgeeks.org/csharp-programming-language/?ref=ghm
SQL,https://www.geeksforgeeks.org/sql-tutorial/?ref=ghm
Scala,https://www.geeksforgeeks.org/scala-programming-language/?ref=ghm
Perl,https://www.geeksforgeeks.org/perl-programming-language/?ref=ghm
Go Language,https://www.geeksforgeeks.org/golang/?ref=ghm
Kotlin,https://www.geeksforgeeks.org/kotlin-programming-language/?ref=ghm
HTML Tutorial,https://www.geeksforgeeks.org/html-tutorials/?ref=ghm
Free HTML Course,https://www.geeksforgeeks.org/learn-html/?ref=ghm
HTML Cheat Sheet,https://www.geeksforgeeks.org/html-cheat-sheet-a-basic-guide-to-html/?ref=ghm
CSS Tutorial,https://www.geeksforgeeks.org/css-tutorials/?ref=ghm
Free CSS Course,https://www.geeksforgeeks.org/learn-css/?ref=ghm
CSS Cheat Sheet,https://www.geeksforgeeks.org/css-cheat-sheet-a-basic-guide-to-css/?ref=ghm
SASS,https://www.geeksforgeeks.org/sass/?ref=ghm
LESS,https://www.geeksforgeeks.org/less/?ref=ghm
JavaScript Tutorial,https://www.geeksforgeeks.org/javascript/?ref=ghm
Free JavaScript Course,https://www.geeksforgeeks.org/learn-javascript-js-roadmap-for-beginners/?ref=ghm
JavaScript A to Z Complete Guide,https://www.geeksforgeeks.org/javascript-complete-guide/?ref=ghm
JavaScript Cheat Sheet,https://www.geeksforgeeks.org/javascript-cheat-sheet-a-basic-guide-to-javascript/?ref=ghm
JavaScript Programming Examples,https://www.geeksforgeeks.org/javascript-examples/?ref=ghm
ReactJS Tutorial,https://www.geeksforgeeks.org/reactjs-tutorials/?ref=ghm
Free ReactJS Course,https://www.geeksforgeeks.org/learn-reactjs/?ref=ghm
NextJS,https://www.geeksforgeeks.org/nextjs/?ref=ghm
React Material UI,https://www.geeksforgeeks.org/react-material-ui/?ref=ghm
React Bootstrap,https://www.geeksforgeeks.org/react-bootstrap/?ref=ghm
React Suite,https://www.geeksforgeeks.org/react-suite/?ref=ghm
Ant Design,https://www.geeksforgeeks.org/ant-design/?ref=ghm
ReactJS Reactstrap,https://www.geeksforgeeks.org/reactjs-reactstrap/?ref=ghm
BlueprintJS,https://www.geeksforgeeks.org/blueprintjs/?ref=ghm
Node.js Tutorial,https://www.geeksforgeeks.org/nodejs/?ref=ghm
Express.js,https://www.geeksforgeeks.org/express-js/
PHP Tutorial,https://www.geeksforgeeks.org/php-tutorial/?ref=ghm
PHP Programming Examples,https://www.geeksforgeeks.org/php-examples/?ref=ghm
AngularJS Tutorial,https://www.geeksforgeeks.org/angularjs/?ref=ghm
AngularJS Cheat Sheet,https://www.geeksforgeeks.org/angular-cheat-sheet-a-basic-guide-to-angular/?ref=ghm
Angular PrimeNG,https://www.geeksforgeeks.org/angular-primeng/?ref=ghm
Angular ngx Bootstrap,https://www.geeksforgeeks.org/angular-ngx-bootstrap/?ref=ghm
jQuery Tutorial,https://www.geeksforgeeks.org/jquery/?ref=ghm
jQuery Cheat Sheet,https://www.geeksforgeeks.org/jquery-cheat-sheet-a-basic-guide-to-jquery/?ref=ghm
jQuery UI,https://www.geeksforgeeks.org/jquery-ui/?ref=ghm
jQuery Mobile,https://www.geeksforgeeks.org/jquery-mobile/?ref=ghm
jQwidget,https://www.geeksforgeeks.org/jqwidgets/?ref=ghm
TypeScript,https://www.geeksforgeeks.org/typescript/?ref=ghm
JSON,https://www.geeksforgeeks.org/json/?ref=ghm
Bootstrap Tutorial,https://www.geeksforgeeks.org/bootstrap/?ref=ghm
Bootstrap 5,https://www.geeksforgeeks.org/bootstrap-5/?ref=ghm
Bootstrap Cheat Sheet,https://www.geeksforgeeks.org/bootstrap-cheatsheet-a-basic-guide-to-bootstrap/?ref=ghm
Tailwind CSS,https://www.geeksforgeeks.org/tailwind-css/?ref=ghm
Bulma,https://www.geeksforgeeks.org/bulma/?ref=ghm
Pure CSS,https://www.geeksforgeeks.org/pure-css/?ref=ghm
Materialize CSS,https://www.geeksforgeeks.org/materialize-css/?ref=ghm
Foundation,https://www.geeksforgeeks.org/foundation/?ref=ghm
Semantic UI,https://www.geeksforgeeks.org/semantic-ui/?ref=ghm
Primer CSS,https://www.geeksforgeeks.org/primer-css/?ref=ghm
Spectre CSS,https://www.geeksforgeeks.org/spectre-css/?ref=ghm
Lodash,https://www.geeksforgeeks.org/lodash/?ref=ghm
D3.js,https://www.geeksforgeeks.org/d3-js/?ref=ghm
Vue.js,https://www.geeksforgeeks.org/vue-js/?ref=ghm
Underscore.js,https://www.geeksforgeeks.org/underscore-js/?ref=ghm
TensorFlow.js,https://www.geeksforgeeks.org/tensorflow-js/?ref=ghm
Collect.js,https://www.geeksforgeeks.org/collect-js/?ref=ghm
Fabric.js,https://www.geeksforgeeks.org/fabric-js/?ref=gfm
p5.js,https://www.geeksforgeeks.org/p5-js/?ref=ghm
ML Tutorial,https://www.geeksforgeeks.org/machine-learning/
ML Maths,https://www.geeksforgeeks.org/machine-learning-mathematics/
ML Projects,https://www.geeksforgeeks.org/machine-learning-projects/
Data Science using Python,https://www.geeksforgeeks.org/data-science-tutorial/
Data Science using R,https://www.geeksforgeeks.org/r-programming-for-data-science/
Pandas Tutorial,https://www.geeksforgeeks.org/pandas-tutorial/
NumPy Tutorial,https://www.geeksforgeeks.org/numpy-tutorial/
Python Data Visualization Tutorial,https://www.geeksforgeeks.org/python-data-visualization-tutorial/
Matplotlib Tutorial,https://www.geeksforgeeks.org/matplotlib-tutorial/
Bokeh Tutorial,https://www.geeksforgeeks.org/python-bokeh-tutorial-interactive-data-visualization-with-bokeh/
Plotly Tutorial,https://www.geeksforgeeks.org/python-plotly-tutorial/
Seaborn Tutorial,https://www.geeksforgeeks.org/python-seaborn-tutorial/
Data Visualization with R,https://www.geeksforgeeks.org/data-visualization-in-r/
Plotly Tutorial,https://www.geeksforgeeks.org/getting-started-with-plotly-in-r/
ggplot Tutorial,https://www.geeksforgeeks.org/data-visualization-with-r-and-ggplot2/
Tableau,https://www.geeksforgeeks.org/tableau-tutorial/
Power BI,https://www.geeksforgeeks.org/power-bi-tutorial/
Data Analysis with Python,https://www.geeksforgeeks.org/data-analysis-with-python/
Data Analysis with R,https://www.geeksforgeeks.org/data-analysis-using-r/
Deep Learning Tutorial,https://www.geeksforgeeks.org/deep-learning-tutorial/
Deep Learning Projects,https://www.geeksforgeeks.org/5-deep-learning-project-ideas-for-beginners/
NLP Tutorial,https://www.geeksforgeeks.org/natural-language-processing-nlp-tutorial/
OpenCV Tutorial,https://www.geeksforgeeks.org/opencv-python-tutorial/
Machine Learning Interview Question,https://www.geeksforgeeks.org/machine-learning-interview-questions/
Deep Learning Interview Question,https://www.geeksforgeeks.org/deep-learning-interview-questions/
Python Interview Questions,https://www.geeksforgeeks.org/python-interview-questions/
Top 50 R Interview Questions,https://www.geeksforgeeks.org/r-interview-questions/
Tensorflow,https://www.geeksforgeeks.org/introduction-to-tensorflow/
PyTorch,https://www.geeksforgeeks.org/getting-started-with-pytorch/
PyTorch Lightning,https://www.geeksforgeeks.org/understanding-pytorch-lightning-datamodules/
Mathematics,https://www.geeksforgeeks.org/engineering-mathematics-tutorials/?ref=ghm
Operating System,https://www.geeksforgeeks.org/operating-systems/?ref=ghm
DBMS,https://www.geeksforgeeks.org/dbms/?ref=ghm
Computer Networks,https://www.geeksforgeeks.org/computer-network-tutorials/?ref=ghm
Computer Organization and Architecture,https://www.geeksforgeeks.org/computer-organization-and-architecture-tutorials/?ref=ghm
Theory of Computation,https://www.geeksforgeeks.org/theory-of-computation-automata-tutorials/?ref=ghm
Compiler Design,https://www.geeksforgeeks.org/compiler-design-tutorials/?ref=ghm
Digital Logic,https://www.geeksforgeeks.org/digital-electronics-logic-design-tutorials/#blg/?ref=ghm
Software Engineering,https://www.geeksforgeeks.org/software-engineering/?ref=ghm
GIT,https://www.geeksforgeeks.org/git-tutorial/?ref=ghm
AWS,https://www.geeksforgeeks.org/aws-tutorial/?ref=ghm
Docker,https://www.geeksforgeeks.org/docker-tutorial/?ref=ghm
Kubernetes,https://www.geeksforgeeks.org/kubernetes-tutorial/?ref=ghm
Microsoft Azure Tutorial,https://www.geeksforgeeks.org/microsoft-azure/?ref=ghm
Google Cloud Platform,https://www.geeksforgeeks.org/google-cloud-platform-tutorial/?ref=ghm
English Grammar,https://www.geeksforgeeks.org/english-grammar/?ref=ghm
School Programming,https://www.geeksforgeeks.org/school-learning/?ref=ghm
Number System,https://www.geeksforgeeks.org/number-system-and-arithmetic/?ref=ghm
Algebra,https://www.geeksforgeeks.org/algebra/?ref=ghm
Linear Algebra,https://www.geeksforgeeks.org/linear-algebra/?ref=ghm
Trigonometry,https://www.geeksforgeeks.org/trigonometry/?ref=ghm
Set Theory,https://www.geeksforgeeks.org/set-theory/?ref=ghm
Statistics,https://www.geeksforgeeks.org/statistics/?ref=ghm
Probability,https://www.geeksforgeeks.org/probability-in-maths/?ref=ghm
Geometry,https://www.geeksforgeeks.org/geometry/?ref=ghm
Mensuration,https://www.geeksforgeeks.org/mensuration/?ref=ghm
Logarithms,https://www.geeksforgeeks.org/logarithms/?ref=ghm
Calculus,https://www.geeksforgeeks.org/calculus/?ref=ghm
Class 8 Syllabus,https://www.geeksforgeeks.org/cbse-class-8-syllabus/?ref=ghm
Class 9 Syllabus,https://www.geeksforgeeks.org/cbse-class-9-syllabus/?ref=ghm
Class 10 Syllabus,https://www.geeksforgeeks.org/cbse-class-10-syllabus/?ref=ghm
Class 11 Syllabus,https://www.geeksforgeeks.org/cbse-class-11-syllabus/?ref=ghm
Class 12 Syllabus,https://www.geeksforgeeks.org/cbse-class-12-syllabus/?ref=ghm
Class 8 Notes,https://www.geeksforgeeks.org/cbse-class-8-maths-notes/?ref=ghm
Class 9 Notes,https://www.geeksforgeeks.org/cbse-class-9-maths-notes/?ref=ghm
Class 10 Notes,https://www.geeksforgeeks.org/cbse-class-10-maths-notes/?ref=ghm
Class 11 Notes,https://www.geeksforgeeks.org/cbse-class-11-maths-notes/?ref=ghm
Class 12 Notes,https://www.geeksforgeeks.org/cbse-class-12-maths-notes/?ref=ghm
Class 8 Formulas,https://www.geeksforgeeks.org/cbse-class-8-maths-formulas/?ref=ghm
Class 9 Formulas,https://www.geeksforgeeks.org/cbse-class-9-maths-formulas/?ref=ghm
Class 10 Formulas,https://www.geeksforgeeks.org/cbse-class-10-maths-formulas/?ref=ghm
Class 11 Formulas,https://www.geeksforgeeks.org/cbse-class-11-maths-formulas/?ref=ghm
Class 8 Maths Solution,https://www.geeksforgeeks.org/ncert-solutions-for-class-8-maths/?ref=ghm
Class 9 Maths Solution,https://www.geeksforgeeks.org/ncert-solutions-for-class-9-maths/?ref=ghm
Class 10 Maths Solution,https://www.geeksforgeeks.org/ncert-solutions-for-class-10-maths/?ref=ghm
Class 11 Maths Solution,https://www.geeksforgeeks.org/ncert-solutions-for-class-11-maths/?ref=ghm
Class 12 Maths Solution,https://www.geeksforgeeks.org/ncert-solutions-for-class-12-maths/?ref=ghm
Class 8 Maths Solution,https://www.geeksforgeeks.org/rd-sharma-class-8-solutions-for-maths/?ref=ghm
Class 9 Maths Solution,https://www.geeksforgeeks.org/rd-sharma-class-9-solutions/?ref=ghm
Class 10 Maths Solution,https://www.geeksforgeeks.org/rd-sharma-class-10-solutions/?ref=ghm
Class 11 Maths Solution,https://www.geeksforgeeks.org/rd-sharma-class-11-solutions-for-maths/?ref=ghm
Class 12 Maths Solution,https://www.geeksforgeeks.org/rd-sharma-class-12-solutions-for-maths/?ref=ghm
Class 8 Notes,https://www.geeksforgeeks.org/class-8-science-notes/?ref=ghm
Class 9 Notes,https://www.geeksforgeeks.org/class-9-science-revision-notes/?ref=ghm
Class 10 Notes,https://www.geeksforgeeks.org/class-10-science-notes/?ref=ghm
Class 8 Notes,https://www.geeksforgeeks.org/cbse-physics-class-8-notes/?ref=ghm
Class 9 Notes,https://www.geeksforgeeks.org/cbse-class-9-physics-notes/?ref=ghm
Class 10 Notes,https://www.geeksforgeeks.org/cbse-notes-for-class-10-physics/?ref=ghm
